2021-01-29 08:51:22 status unpacked libss2:armhf 1.42.12-2+b1
2021-01-29 08:51:23 install findutils:armhf <none> 4.4.2-9+b1
2021-01-29 08:51:23 status half-installed findutils:armhf 4.4.2-9+b1
2021-01-29 08:51:23 status unpacked findutils:armhf 4.4.2-9+b1
2021-01-29 08:51:23 status unpacked findutils:armhf 4.4.2-9+b1
2021-01-29 08:51:23 install gcc-4.8-base:armhf <none> 4.8.4-1
2021-01-29 08:51:23 status half-installed gcc-4.8-base:armhf 4.8.4-1
2021-01-29 08:51:23 status unpacked gcc-4.8-base:armhf 4.8.4-1
2021-01-29 08:51:23 status unpacked gcc-4.8-base:armhf 4.8.4-1
2021-01-29 08:51:23 install gcc-4.9-base:armhf <none> 4.9.2-10+deb8u1
2021-01-29 08:51:23 status half-installed gcc-4.9-base:armhf 4.9.2-10+deb8u1
2021-01-29 08:51:24 status unpacked gcc-4.9-base:armhf 4.9.2-10+deb8u1
2021-01-29 08:51:24 status unpacked gcc-4.9-base:armhf 4.9.2-10+deb8u1
2021-01-29 08:51:24 install libgcc1:armhf <none> 1:4.9.2-10+deb8u1
2021-01-29 08:51:24 status half-installed libgcc1:armhf 1:4.9.2-10+deb8u1
2021-01-29 08:51:24 status unpacked libgcc1:armhf 1:4.9.2-10+deb8u1
2021-01-29 08:51:24 status unpacked libgcc1:armhf 1:4.9.2-10+deb8u1
2021-01-29 08:51:24 install libc-bin:armhf <none> 2.19-18+deb8u10
2021-01-29 08:51:24 status half-installed libc-bin:armhf 2.19-18+deb8u10
2021-01-29 08:51:24 status unpacked libc-bin:armhf 2.19-18+deb8u10
2021-01-29 08:51:24 status unpacked libc-bin:armhf 2.19-18+deb8u10
2021-01-29 08:51:25 upgrade libc6:armhf 2.19-18+deb8u10 2.19-18+deb8u10
2021-01-29 08:51:25 status half-configured libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:25 status unpacked libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:25 status half-installed libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:28 status half-installed libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:28 status unpacked libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:28 status unpacked libc6:armhf 2.19-18+deb8u10
2021-01-29 08:51:28 install multiarch-support:armhf <none> 2.19-18+deb8u10
2021-01-29 08:51:28 status half-installed multiarch-support:armhf 2.19-18+deb8u10
2021-01-29 08:51:28 status unpacked multiarch-support:armhf 2.19-18+deb8u10
2021-01-29 08:51:28 status unpacked multiarch-support:armhf 2.19-18+deb8u10
2021-01-29 08:51:28 install grep:armhf <none> 2.20-4.1
2021-01-29 08:51:28 status half-installed grep:armhf 2.20-4.1
2021-01-29 08:51:28 status unpacked grep:armhf 2.20-4.1
2021-01-29 08:51:28 status unpacked grep:armhf 2.20-4.1
2021-01-29 08:51:28 install gzip:armhf <none> 1.6-4
2021-01-29 08:51:28 status half-installed gzip:armhf 1.6-4
2021-01-29 08:51:29 status unpacked gzip:armhf 1.6-4
2021-01-29 08:51:29 status unpacked gzip:armhf 1.6-4
2021-01-29 08:51:29 install hostname:armhf <none> 3.15
2021-01-29 08:51:29 status half-installed hostname:armhf 3.15
2021-01-29 08:51:29 status unpacked hostname:armhf 3.15
2021-01-29 08:51:29 status unpacked hostname:armhf 3.15
2021-01-29 08:51:29 install init:armhf <none> 1.22
2021-01-29 08:51:29 status half-installed init:armhf 1.22
2021-01-29 08:51:29 status unpacked init:armhf 1.22
2021-01-29 08:51:29 status unpacked init:armhf 1.22
2021-01-29 08:51:29 install insserv:armhf <none> 1.14.0-5
2021-01-29 08:51:29 status half-installed insserv:armhf 1.14.0-5
2021-01-29 08:51:29 status unpacked insserv:armhf 1.14.0-5
2021-01-29 08:51:29 status unpacked insserv:armhf 1.14.0-5
2021-01-29 08:51:30 install libkmod2:armhf <none> 18-3
2021-01-29 08:51:30 status half-installed libkmod2:armhf 18-3
2021-01-29 08:51:30 status unpacked libkmod2:armhf 18-3
2021-01-29 08:51:30 status unpacked libkmod2:armhf 18-3
2021-01-29 08:51:30 install libcap2:armhf <none> 1:2.24-8
2021-01-29 08:51:30 status half-installed libcap2:armhf 1:2.24-8
2021-01-29 08:51:30 status unpacked libcap2:armhf 1:2.24-8
2021-01-29 08:51:30 status unpacked libcap2:armhf 1:2.24-8
2021-01-29 08:51:30 install libcap2-bin:armhf <none> 1:2.24-8
2021-01-29 08:51:30 status half-installed libcap2-bin:armhf 1:2.24-8
